Tweet,UserHandle,Party,Issue,Stance
a no of people approach me daily worried abt the safety of their money in banks considering large no of bank frauds coming to light daily pm may kindly inform the public which bank is safe for people to keep their money URL sir there is a big rumour people are very skeptical that their saved money in the banks can go for a toss anytime hope wish pray that you our people all of us save the hard earned money in banks improve our incomes strengthen the income tax system,ArvindKejriwal,AAP,GST,Disagreement
its now revealed that our fms silence on the pnb scam was to protect his lawyer daughter who was paid a large retainer by the accused just a month before the scam became public when other law firms of the accused have been raided by the cbi why not hers modirobsindia URL you know doing something right when the ruling dispensation tries to rebut a story that has not even been published yet URL,ArvindKejriwal,AAP,PNB Scam,Neutral
pnb scam started in is going on till today the bjp is accusing the cong and cong bjp is also on the side of cong pnb scam started in is going on till today the bjp is accusing the cong and cong bjp is the only one that all the scams of cong time are still going on earlier cong was earning now the bjp earns from those scams that is why till today the bjp has not sent a single congressman to jail in any scam,ArvindKejriwal,AAP,PNB Scam,Neutral
would bjp confirm this if true what transpired in that meeting breaking my sources tell me that niravmodi his brother had a privileged private meeting with USER_MENTION in davos,ArvindKejriwal,AAP,PNB Scam,Neutral
bjp insiders telling that niravmodi been a regular donor to the party coffers since modi was cm that is primarily the reason behind his closer proximity to pmo why pm decided to look the other way it is just not a bank fraud but has all the ingrediants of a massive scam URL breaking cnnnews18 has accessed complainant letter to pmo on nirav modi complainant received acknowledgment from pmo over letter in USER_MENTION with details bigbankscam,ArvindKejriwal,AAP,PNB Scam,Neutral
is it possible to believe that he or vijay mallya left the country without active connivance of bjp govt pnb scam worth a staggering rs crores and accused nirav modi has already left the country unbelievable,ArvindKejriwal,AAP,PNB Scam,Neutral
someone told me today sealing bjp wants to ruin retail business to pave way for fdi in retail in i hope this is not true delhi wale katwa kyu rhe hai,ArvindKejriwal,AAP,FDIPolicy,Neutral
if all state govts central govt and sc together cannot get one movie released and run safely how can we expect investments to flow in forget fdi even local investors wud feel hesitant not gud for already dwindling economy bad for jobs,ArvindKejriwal,AAP,FDIPolicy,Neutral
three killings on merchants in one year first banquet then gst and now fdi for small and marginal traders such a death has come,ArvindKejriwal,AAP,GST,Disagreement
there is no need to increase house tax in mcd what is reqd is to reduce corruption if u remove corruption u will save so much money that u will be able to actually reduce house tax URL the opposition in delhis mcd aam aadmi party opposes the proposal of civic body to hike house taxes in the capital,ArvindKejriwal,AAP,GST,Disagreement
i am so happy that political discourse in del is around education and not on padmavati cows or hindumuslim hope congress and bjp will accept manish sisodias challenge URL watch n sharewe delhi govt challenge bjp congress to compete with us in the race for betterment of education USER_MENTION delhi govt is working tirelessly towards betterment of education system USER_MENTION,ArvindKejriwal,AAP,Padmavati film screening,Neutral
politics differences apart here is wishing USER_MENTION ji USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION the entire USER_MENTION team many many congratulations on years wish u guys success happiness it sends crore tax notice to arvind kejriwals aam aadmi party,ArvindKejriwal,AAP,GST,Disagreement
had a very useful session wid trader reps to take their feedback on gst and develop a collective strategy to deal wid operational prblems URL gst intereactive session with traders alongwith cm USER_MENTION dy cm USER_MENTION delhis traders participated,ArvindKejriwal,AAP,GST,Disagreement
business takes a hit as excess gst paid gets locked with government the times of india on mobile,ArvindKejriwal,AAP,GST,Disagreement
this committee comprising local traders will be a bridge betn traders n government help in traders in coping wid gst delhi government will make gst committee in every market of delhi for twoway communication from traders msisodiapic.twitter.com gfy6gmgbvi,ArvindKejriwal,AAP,GST,Disagreement
dmk has caused injustice to farmers in the cauvery issue aiadmkhungerstrike,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
the dmk may have set up a cauvery management board when the congress coalition government was in power we are pressing on behalf of the government of tamil nadu and politically to the central government at cauvery issue aiadmkhungerstrike,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
we are pressing on behalf of the tamil nadu government and politically in the cauvery issue aiadmkhungerstrike,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
this petition of the central government cauvery management board and kaveri hydroelectric committees was held at the end of the deadline of the supreme court on with the chief ministers chief secretary and chief executive officers of the tamil nadu government i discussed and discussed in detail,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
the cauvery management board and the cauvery water supply center at the time of the supreme court at the end of the supreme court had been in the forefront of the supreme courts deadline on with the chief minister chief secretary and chief ministers of tamil nadu i discussed and discussed in detail,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
in the cauvery dispute of tamil nadu the issue of maintaining our rights and protecting the livelihood of the people of the peasantry the honble mother will continue to carry out all the activities of the government cauveryissuepic.twitter.com bnsrc8nvli,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
in the cauvery dispute of tamil nadu the issue of maintaining our rights and protecting the livelihood of the people of the peasantry the honble mother will continue to carry out all the activities of the government cauveryissuepic.twitter.com bnsrc8nvli,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
speech at the advisory meeting of all party leaders on cauvery water issue cauvery odnaru1ahg,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
speech at the advisory meeting of all party leaders on cauvery water issue cauvery odnaru1ahg,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
all party meetings to discuss the next steps to be taken over the supreme court verdict in the cauvery dispute news release cauveryverdictpic.twitter.com uaihx34vs4,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble cm statement on cauvery judgment cauveryverdict,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble cm statement on cauvery judgment cauveryverdict,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble cm statement on cauvery judgment cauveryverdict,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble cm statement on cauvery judgment cauveryverdict,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble chief minister of karnataka honble chief minister of tamil nadu chief minister and chief minister of tamil nadu chief minister mr.edapady k jayaprakash on the issue of urging the karnataka government to open the cauvery water in order to save the delta district samba crop palanisamy was consulted at the secretariat on cauverypic.twitter.com logxqoptvz,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
honble chief minister of tamil nadu mr edappadi k sivasankar has urged the karnataka government to open the cauvery water in order to save the delta district chamba crops palanisamy was consulted at the secretariat on cauverypic.twitter.com logxqoptvz,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
experiment with tax evaders the sasikala family is conducting checkup on tax evaders the sasikala family has no connection to the income tax conducted in houses and offices,CMOTamilNadu,AIADMK,GST,Neutral
flaging off of medical teams USER_MENTION sir beta is going to supreme court tomorrow against jallikattu please do needful,CMOTamilNadu,AIADMK,Jallikattu ban,Neutral
honble chief minister opened the bridge built on behalf of highways and minor ports department across the cauvery river,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
rs crore bridge across river cauvery at pallipalayam will be ready by this month end,CMOTamilNadu,AIADMK,Cauvery SC Verdict,Agreement
income tax awareness camp for government officers tamilnadupic.twitter.com whxqesinvk,CMOTamilNadu,AIADMK,GST,Neutral
economic growth continues to surpass national gdp growth the odisha economicsurvey records economic growth at higher than growth of vindicates our consistent policy that aids inclusive growth in the state,Naveen_Odisha,Biju Janata Dal,GDP growth,Neutral
